id,rating
802553,4
802554,5
802555,5
802556,4
802557,3
802558,4
802559,3
802560,3
802561,4
802562,2
802563,1
802564,4
802565,3
802566,3
802567,3
802568,5
802569,5
802570,5
802571,5
802572,3
802573,5
802574,3
802575,4
802576,4
802577,5
802578,2
802579,4
802580,4
802581,4
802582,5
802583,3
802584,3
802585,4
802586,4
802587,5
802588,5
802589,3
802590,4
802591,3
802592,4
802593,3
802594,4
802595,4
802596,3
802597,4
802598,5
802599,3
802600,5
802601,4
802602,4
802603,1
802604,3
802605,2
802606,3
802607,5
802608,1
802609,5
802610,4
802611,3
802612,2
802613,3
802614,4
802615,5
802616,2
802617,2
802618,3
802619,4
802620,3
802621,3
802622,3
802623,2
802624,5
802625,4
802626,4
802627,4
802628,4
802629,4
802630,4
802631,5
802632,4
802633,4
802634,2
802635,4
802636,4
802637,1
802638,4
802639,5
802640,4
802641,1
802642,3
802643,4
802644,3
802645,5
802646,4
802647,3
802648,4
802649,4
802650,4
802651,5
802652,5
802653,4
802654,3
802655,3
802656,5
802657,4
802658,5
802659,2
802660,5
802661,5
802662,3
802663,2
802664,4
802665,4
802666,3
802667,2
802668,3
802669,5
802670,4
802671,3
802672,4
802673,1
802674,3
802675,4
802676,4
802677,5
802678,4
802679,2
802680,2
802681,5
802682,4
802683,2
802684,5
802685,4
802686,4
802687,1
802688,5
802689,3
802690,4
802691,4
802692,4
802693,4
802694,2
802695,4
802696,5
802697,4
802698,3
802699,4
802700,3
802701,5
802702,3
802703,4
802704,4
802705,4
802706,4
802707,4
802708,5
802709,3
802710,4
802711,4
802712,4
802713,5
802714,5
802715,4
802716,3
802717,3
802718,4
802719,3
802720,3
802721,4
802722,4
802723,5
802724,4
802725,4
802726,3
802727,2
802728,4
802729,4
802730,4
802731,5
802732,4
802733,5
802734,4
802735,4
802736,4
802737,2
802738,3
802739,3
802740,3
802741,5
802742,4
802743,3
802744,3
802745,4
802746,4
802747,4
802748,5
802749,3
802750,3
802751,3
802752,5
802753,4
802754,3
802755,5
802756,3
802757,3
802758,5
802759,5
802760,3
802761,4
802762,5
802763,3
802764,2
802765,5
802766,2
802767,4
802768,2
802769,4
802770,3
802771,5
802772,5
802773,3
802774,1
802775,4
802776,3
802777,3
802778,3
802779,2
802780,3
802781,5
802782,4
802783,4
802784,4
802785,5
802786,2
802787,4
802788,5
802789,4
802790,1
802791,2
802792,1
802793,4
802794,5
802795,4
802796,2
802797,5
802798,5
802799,4
802800,3
802801,3
802802,3
802803,4
802804,2
802805,4
802806,4
802807,4
802808,2
802809,4
802810,5
802811,5
802812,4
802813,1
802814,2
802815,3
802816,3
802817,4
802818,4
802819,4
802820,5
802821,4
802822,2
802823,2
802824,3
802825,3
802826,3
802827,5
802828,1
802829,4
802830,2
802831,4
802832,4
802833,4
802834,4
802835,3
802836,3
802837,4
802838,4
802839,3
802840,4
802841,5
802842,5
802843,3
802844,2
802845,4
802846,5
802847,2
802848,4
802849,2
802850,5
802851,3
802852,2
802853,4
802854,4
802855,4
802856,3
802857,2
802858,3
802859,5
802860,1
802861,4
802862,3
802863,4
802864,3
802865,3
802866,4
802867,3
802868,4
802869,4
802870,4
802871,3
802872,5
802873,5
802874,3
802875,3
802876,1
802877,5
802878,5
802879,4
802880,4
802881,5
802882,3
802883,4
802884,4
802885,3
802886,4
802887,4
802888,1
802889,3
802890,3
802891,4
802892,2
802893,5
802894,4
802895,3
802896,5
802897,5
802898,3
802899,4
802900,5
802901,4
802902,5
802903,5
802904,4
802905,5
802906,3
802907,3
802908,3
802909,4
802910,3
802911,2
802912,5
802913,2
802914,3
802915,5
802916,3
802917,5
802918,5
802919,4
802920,4
802921,5
802922,4
802923,5
802924,4
802925,3
802926,5
802927,4
802928,5
802929,1
802930,3
802931,2
802932,4
802933,3
802934,5
802935,5
802936,3
802937,3
802938,1
802939,5
802940,3
802941,4
802942,5
802943,4
802944,2
802945,1
802946,4
802947,2
802948,5
802949,3
802950,5
802951,4
802952,1
802953,5
802954,4
802955,3
802956,2
802957,4
802958,3
802959,5
802960,3
802961,5
802962,2
802963,2
802964,1
802965,4
802966,4
802967,2
802968,4
802969,5
802970,4
802971,5
802972,4
802973,4
802974,5
802975,4
802976,5
802977,4
802978,4
802979,1
802980,1
802981,2
802982,3
802983,5
802984,3
802985,5
802986,2
