Id,rating
802553,2
802554,1
802555,1
802556,2
802557,2
802558,1
802559,1
802560,2
802561,2
802562,1
802563,5
802564,5
802565,5
802566,5
802567,5
802568,5
802569,5
802570,5
802571,5
802572,5
802573,5
802574,5
802575,5
802576,5
802577,5
802578,5
802579,5
802580,5
802581,5
802582,5
802583,5
802584,5
802585,5
802586,5
802587,5
802588,3
802589,3
802590,3
802591,3
802592,3
802593,3
802594,3
802595,3
802596,3
802597,3
802598,4
802599,4
802600,4
802601,4
802602,4
802603,3
802604,3
802605,3
802606,3
802607,3
802608,3
802609,3
802610,3
802611,3
802612,3
802613,4
802614,3
802615,3
802616,3
802617,3
802618,3
802619,3
802620,3
802621,3
802622,3
802623,3
802624,4
802625,3
802626,3
802627,3
802628,3
802629,3
802630,4
802631,3
802632,3
802633,3
802634,3
802635,4
802636,3
802637,3
802638,3
802639,3
802640,3
802641,5
802642,5
802643,5
802644,5
802645,5
802646,5
802647,5
802648,5
802649,5
802650,5
802651,5
802652,5
802653,5
802654,5
802655,3
802656,3
802657,3
802658,3
802659,3
802660,3
802661,3
802662,3
802663,3
802664,3
802665,3
802666,3
802667,3
802668,3
802669,3
802670,3
802671,3
802672,3
802673,3
802674,3
802675,3
802676,3
802677,3
802678,3
802679,3
802680,3
802681,3
802682,3
802683,3
802684,3
802685,3
802686,3
802687,3
802688,4
802689,3
802690,3
802691,3
802692,3
802693,4
802694,3
802695,3
802696,3
802697,3
802698,3
802699,3
802700,3
802701,3
802702,3
802703,4
802704,3
802705,3
802706,3
802707,3
802708,3
802709,4
802710,3
802711,4
802712,4
802713,4
802714,4
802715,3
802716,3
802717,4
802718,4
802719,4
802720,4
802721,3
802722,4
802723,4
802724,3
802725,4
802726,3
802727,4
802728,4
802729,4
802730,4
802731,3
802732,4
802733,4
802734,4
802735,4
802736,4
802737,4
802738,4
802739,4
802740,3
802741,4
802742,4
802743,4
802744,3
802745,4
802746,4
802747,4
802748,4
802749,4
802750,4
802751,3
802752,4
802753,4
802754,4
802755,3
802756,3
802757,3
802758,4
802759,3
802760,4
802761,3
802762,3
802763,4
802764,4
802765,3
802766,4
802767,4
802768,3
802769,4
802770,4
802771,4
802772,3
802773,3
802774,4
802775,4
802776,4
802777,4
802778,4
802779,4
802780,4
802781,4
802782,4
802783,3
802784,4
802785,4
802786,4
802787,4
802788,4
802789,3
802790,3
802791,3
802792,3
802793,3
802794,3
802795,3
802796,3
802797,3
